,uniqueid,salary,games,bats,runs,rbi,hits,doubles,triples,homeruns,walks,strike_outs,weight,height
721,2015TBAloneyja01,8666666,104.0,361.0,25.0,32.0,101.0,16.0,0.0,4.0,23.0,34.0,235,75
722,2015TBAlongoev01,11000000,160.0,604.0,74.0,73.0,163.0,35.0,1.0,21.0,51.0,132.0,213,73
723,2015TBAmcgeeja01,3550000,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229,76
724,2015TBAmoorema02,3000000,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,75
725,2015TBAodorija01,522000,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,190,74
726,2015TBAramirer02,522800,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,220,72
727,2015TBAriverre01,1200000,110.0,298.0,16.0,26.0,53.0,14.0,0.0,5.0,11.0,86.0,215,70
728,2015TBAsmylydr01,2650000,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188,74
729,2015TBAsouzast01,508700,110.0,373.0,59.0,40.0,84.0,15.0,1.0,16.0,46.0,144.0,225,76
730,2015TBAwilsobo02,700000,25.0,55.0,3.0,4.0,8.0,0.0,0.0,0.0,4.0,20.0,230,72
732,2015TBAyateski01,512800,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,70
733,2015TEXandruel01,15000000,160.0,596.0,69.0,62.0,154.0,34.0,2.0,7.0,46.0,78.0,210,72
734,2015TEXbassan01,725000,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,74
735,2015TEXbeltrad01,16000000,143.0,567.0,83.0,83.0,163.0,32.0,4.0,18.0,41.0,65.0,220,71
736,2015TEXchiriro01,518290,78.0,233.0,33.0,34.0,54.0,16.0,1.0,10.0,28.0,62.0,220,73
737,2015TEXchoosh01,14000000,149.0,555.0,94.0,82.0,153.0,32.0,3.0,22.0,76.0,147.0,205,71
738,2015TEXclaudal01,508500,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188,75
739,2015TEXcorpoca01,975000,33.0,107.0,10.0,15.0,19.0,4.0,0.0,3.0,6.0,40.0,240,74
740,2015TEXdetwiro01,3450000,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,77
741,2015TEXedwarjo02,508500,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,77
742,2015TEXfelizne01,4125000,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235,75
743,2015TEXfieldpr01,24000000,158.0,613.0,78.0,98.0,187.0,28.0,0.0,23.0,64.0,88.0,275,71
744,2015TEXfreemsa01,517000,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,71
745,2015TEXfujikky01,1100000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,72
746,2015TEXgallayo01,14000000,33.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,205,74
747,2015TEXhamiljo03,22708749,50.0,170.0,22.0,25.0,43.0,8.0,0.0,8.0,10.0,52.0,240,76
748,2015TEXhollade01,7400000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,74
749,2015TEXkleinph01,509500,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255,79
750,2015TEXlewisco01,4000000,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,240,76
751,2015TEXmartile01,4750000,95.0,288.0,26.0,25.0,63.0,12.0,0.0,5.0,16.0,69.0,200,74
752,2015TEXmartini01,515000,24.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200,73
753,2015TEXmendero01,509500,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245,75
754,2015TEXmorelmi01,2950000,132.0,471.0,51.0,85.0,131.0,27.0,0.0,23.0,32.0,112.0,245,75
755,2015TEXodorro01,513850,120.0,426.0,54.0,61.0,111.0,21.0,9.0,16.0,23.0,79.0,200,71
756,2015TEXperezma02,1000000,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,200,72
757,2015TEXrodriwa01,507000,17.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,195,71
758,2015TEXrosalad01,900000,55.0,114.0,14.0,7.0,26.0,4.0,0.0,3.0,10.0,30.0,200,74
759,2015TEXruary01,508500,28.0,83.0,10.0,7.0,16.0,5.0,0.0,4.0,3.0,32.0,205,74
760,2015TEXschepta01,515200,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,76
761,2015TEXsmolija01,508500,35.0,60.0,12.0,6.0,8.0,1.0,0.0,1.0,11.0,20.0,210,71
762,2015TEXtollesh01,519700,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214,73
763,2015TORbautijo02,14000000,153.0,543.0,108.0,114.0,136.0,29.0,3.0,40.0,110.0,106.0,205,72
764,2015TORbuehrma01,20000000,32.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,240,74
765,2015TORcecilbr01,2475000,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,74
766,2015TORdickera01,12000000,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,215,75
767,2015TORdonaljo02,4300000,158.0,620.0,122.0,123.0,184.0,41.0,2.0,41.0,73.0,133.0,210,73
768,2015TORencared01,10000000,146.0,528.0,94.0,111.0,146.0,31.0,0.0,39.0,77.0,98.0,230,73
769,2015TORestrama01,3900000,34.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,180,72
770,2015TORgoinsry01,512800,128.0,376.0,52.0,45.0,94.0,16.0,4.0,5.0,39.0,83.0,180,70
771,2015TORhendrli01,518400,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,235,72
772,2015TORhutchdr01,520100,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215,75
773,2015TORhynesco01,510800,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,71
774,2015TORloupaa01,527500,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,71
775,2015TORmartiru01,7000000,129.0,441.0,76.0,77.0,106.0,23.0,2.0,23.0,53.0,106.0,215,70
776,2015TORnavardi01,5000000,54.0,171.0,17.0,20.0,42.0,7.0,0.0,5.0,17.0,29.0,215,69
777,2015TORnorrida01,508700,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207,74
778,2015TORpillake01,512000,159.0,586.0,76.0,56.0,163.0,31.0,2.0,12.0,28.0,85.0,200,72
779,2015TORpompeda01,508500,34.0,94.0,17.0,6.0,21.0,8.0,0.0,2.0,7.0,23.0,200,74
780,2015TORredmoto01,520000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,75
781,2015TORreyesjo01,22000000,69.0,288.0,36.0,34.0,82.0,17.0,0.0,4.0,17.0,38.0,195,72
782,2015TORsanchaa01,1021600,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,76
783,2015TORsaundmi01,2875000,9.0,31.0,2.0,3.0,6.0,0.0,0.0,0.0,5.0,10.0,225,76
784,2015TORsmoakju01,1000000,132.0,296.0,44.0,59.0,67.0,16.0,1.0,18.0,29.0,86.0,220,76
785,2015TORstromma01,514700,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,67
786,2015TORtholejo01,1750000,18.0,49.0,5.0,2.0,10.0,2.0,0.0,0.0,3.0,9.0,190,73
787,2015TORtollest01,517300,19.0,41.0,9.0,3.0,11.0,5.0,1.0,0.0,4.0,9.0,185,71
788,2015WASbarreaa01,514200,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,75
789,2015WAScedenxa01,516500,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,71
790,2015WASdendema01,512972,55.0,99.0,12.0,12.0,25.0,6.0,1.0,5.0,9.0,20.0,210,74
791,2015WASdesmoia01,11000000,156.0,583.0,69.0,62.0,136.0,27.0,2.0,19.0,45.0,187.0,217,75
792,2015WASescobyu01,5000000,139.0,535.0,75.0,56.0,168.0,25.0,1.0,9.0,45.0,70.0,215,74
793,2015WASespinda01,1800000,118.0,367.0,59.0,37.0,88.0,21.0,1.0,13.0,33.0,106.0,205,72
794,2015WASfistedo01,11400000,29.0,31.0,2.0,0.0,7.0,1.0,0.0,0.0,2.0,15.0,210,80
795,2015WASgonzagi01,11000000,31.0,43.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,18.0,205,72
796,2015WASharpebr03,2500000,153.0,521.0,118.0,99.0,172.0,38.0,1.0,42.0,124.0,131.0,210,75
797,2015WASjanssca01,3500000,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,76
798,2015WASjohnsre02,1000000,17.0,22.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,6.0,185,70
799,2015WASlobatjo01,1200000,44.0,136.0,11.0,20.0,27.0,4.0,0.0,3.0,15.0,40.0,212,73
800,2015WASmoorety01,518200,97.0,187.0,14.0,27.0,38.0,12.0,0.0,6.0,11.0,45.0,220,74
801,2015WASramoswi01,3550000,128.0,475.0,41.0,68.0,109.0,16.0,0.0,15.0,21.0,101.0,241,73
802,2015WASrendoan01,2500000,80.0,311.0,43.0,25.0,82.0,16.0,0.0,5.0,36.0,70.0,200,73
803,2015WASroarkta01,529600,40.0,27.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,9.0,238,74
804,2015WASrobincl01,525000,126.0,309.0,44.0,34.0,84.0,15.0,1.0,10.0,37.0,52.0,240,77
805,2015WASscherma01,17142000,34.0,69.0,4.0,0.0,15.0,0.0,0.0,0.0,2.0,23.0,208,75
806,2015WASspande01,9000000,61.0,246.0,38.0,22.0,74.0,17.0,0.0,5.0,25.0,26.0,210,72
807,2015WASstammcr01,2250000,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228,74
